kw_5638700244 ['Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)']
kw_5636609164 ['null']
kw_5641647352 ['Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)']
kw_246461622 ['Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)']
kw_5640829459 ['Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C)']
kw_5394526614 ['Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)']
kw_253611875 ['Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727)']
kw_130716026 ['Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; InfoPath.3)']
kw_244589634 ['Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; SLCC2; eSobiSubscriber 2.0.4.16)']
kw_5644859026 ['Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)']
kw_254960266 ['Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; LCJB)']
kw_5643579122 ['Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.2; WOW64; Trident/7.0; .NET4.0C; .NET4.0E)']
kw_5374024387 ['Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; QQDownload 766; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152)']
kw_5630023656 ['Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Trident/5.0)']
kw_102301330 ['Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; .NET4.0C; .NET4.0E)']
['MSIE', 'Chrome', 'Firefox', 'rv:11', 'AIR', 'null']
[14, 0, 0, 0, 0, 1]
