kw_5638700244 ['WIN 23,0,0,207']
kw_5644859026 ['WIN 23,0,0,207']
kw_5630023656 ['WIN 23,0,0,207']
kw_253611875 ['WIN 23,0,0,207']
kw_5636609164 ['null']
kw_5641647352 ['WIN 23,0,0,207']
kw_254960266 ['WIN 23,0,0,207']
kw_246461622 ['WIN 11,0,1,98']
kw_5643579122 ['WIN 23,0,0,207']
kw_5374024387 ['WIN 23,0,0,207']
kw_5394526614 ['WIN 23,0,0,207']
kw_130716026 ['WIN 23,0,0,205']
kw_102301330 ['WIN 23,0,0,185']
kw_5640829459 ['WIN 23,0,0,207']
kw_244589634 ['WIN 23,0,0,207']
['24,', '23,', '22,', '21,', '20,', '19,', '18,', '17,', '16,', '15,', '14,', '13,', '12,', '11,', 'null']
[0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]
